index,Слово,Часть речи,Род,Число,Падеж,Ударение
109,бета,сущ,жен,ед,0,2
110,оговорка,сущ,жен,ед,0,5
111,ножовка,сущ,жен,ед,0,4
112,электропередача,сущ,жен,ед,0,13
113,оборона,сущ,жен,ед,0,5
114,майка,сущ,жен,ед,0,2
115,варвара,сущ,жен,ед,0,2
116,фотовспышка,сущ,жен,ед,0,8
117,беседа,сущ,жен,ед,0,4
118,хроника,сущ,жен,ед,0,3
119,стремительность,сущ,жен,ед,0,6
120,камелия,сущ,жен,ед,0,4
121,телепатия,сущ,жен,ед,0,6
122,нефтеотдача,сущ,жен,ед,0,2
123,теснота,сущ,жен,ед,0,7
124,мистика,сущ,жен,ед,0,2
125,россиянка,сущ,жен,ед,0,6
126,сорбонна,сущ,жен,ед,0,2
127,хула,сущ,жен,ед,0,4
128,фурцева,сущ,жен,ед,0,2
129,пирамида,сущ,жен,ед,0,6
130,плаха,сущ,жен,ед,0,3
131,неподвижность,сущ,жен,ед,0,7
132,баядерка,сущ,жен,ед,0,5
133,маркиза,сущ,жен,ед,0,5
134,миляга,сущ,жен,ед,0,4
135,ольха,сущ,жен,ед,0,5
136,исправность,сущ,жен,ед,0,5
137,прозелень,сущ,жен,ед,0,3
138,поликлиника,сущ,жен,ед,0,7
139,разговорчивость,сущ,жен,ед,0,7
140,дикарка,сущ,жен,ед,0,4
141,кинематография,сущ,жен,ед,0,11
142,савина,сущ,жен,ед,0,2
143,естественность,сущ,жен,ед,0,4
144,тушь,сущ,жен,ед,0,2
145,квалификация,сущ,жен,ед,0,9
146,липосома,сущ,жен,ед,0,2
147,заклёпка,сущ,жен,ед,0,5
148,аполитичность,сущ,жен,ед,0,7
149,голгофа,сущ,жен,ед,0,5
150,телеграфистка,сущ,жен,ед,0,9
151,прялка,сущ,жен,ед,0,3
152,растяпа,сущ,жен,ед,0,5
153,живописность,сущ,жен,ед,0,6
154,услуга,сущ,жен,ед,0,4
155,марианна,сущ,жен,ед,0,5
156,гипертония,сущ,жен,ед,0,9
157,мелочишка,сущ,жен,ед,0,6
158,баллада,сущ,жен,ед,0,5
159,директорша,сущ,жен,ед,0,2
160,статика,сущ,жен,ед,0,3
161,ловкость,сущ,жен,ед,0,2
162,изученность,сущ,жен,ед,0,3
163,пьеса,сущ,жен,ед,0,3
164,поступь,сущ,жен,ед,0,2
165,ветровка,сущ,жен,ед,0,5
166,безвестность,сущ,жен,ед,0,5
167,отгрузка,сущ,жен,ед,0,5
168,шея,сущ,жен,ед,0,2
169,сборная,сущ,жен,ед,0,3
170,сырость,сущ,жен,ед,0,2
171,хохлова,сущ,жен,ед,0,2
172,руслановна,сущ,жен,ед,0,5
173,надя,сущ,жен,ед,0,2
174,вспашка,сущ,жен,ед,0,4
175,декарт,сущ,жен,ед,0,4
176,блажь,сущ,жен,ед,0,3
177,митрохина,сущ,жен,ед,0,2
178,асуевна,сущ,жен,ед,0,1
179,тождественность,сущ,жен,ед,0,5
180,родословная,сущ,жен,ед,0,7
181,ермакова,сущ,жен,ед,0,6
182,опухоль,сущ,жен,ед,0,1
183,астафьева,сущ,жен,ед,0,4
184,скорлупка,сущ,жен,ед,0,6
185,башмет,сущ,жен,ед,0,2
186,гуашь,сущ,жен,ед,0,3
187,квашнина,сущ,жен,ед,0,3
188,идея,сущ,жен,ед,0,3
189,трагикомедия,сущ,жен,ед,0,9
190,керосинка,сущ,жен,ед,0,6
191,привязанность,сущ,жен,ед,0,5
192,аля,сущ,жен,ед,0,3
193,косыгина,сущ,жен,ед,0,2
194,фармацевтика,сущ,жен,ед,0,7
195,плюшка,сущ,жен,ед,0,3
196,служанка,сущ,жен,ед,0,5
197,бедность,сущ,жен,ед,0,2
198,кража,сущ,жен,ед,0,3
199,разработка,сущ,жен,ед,0,7
200,мобилизация,сущ,жен,ед,0,8
201,караулова,сущ,жен,ед,0,2
202,даниловна,сущ,жен,ед,0,4
203,рамочка,сущ,жен,ед,0,2
204,апологетика,сущ,жен,ед,0,7
205,аптека,сущ,жен,ед,0,4
206,линька,сущ,жен,ед,0,2
207,неутомимость,сущ,жен,ед,0,7
208,испания,сущ,жен,ед,0,4
209,владовна,сущ,жен,ед,0,3
210,отсылка,сущ,жен,ед,0,4
211,галилей,сущ,жен,ед,0,2
212,стрелочка,сущ,жен,ед,0,4
213,потеха,сущ,жен,ед,0,4
214,иона,сущ,жен,ед,0,1
215,лютня,сущ,жен,ед,0,2
216,веточка,сущ,жен,ед,0,2
217,примадонна,сущ,жен,ед,0,7
218,сутра,сущ,жен,ед,0,2
219,инсценировка,сущ,жен,ед,0,9
220,батарейка,сущ,жен,ед,0,6
221,ира,сущ,жен,ед,0,1
222,квартплата,сущ,жен,ед,0,8
223,мята,сущ,жен,ед,0,2
224,грива,сущ,жен,ед,0,3
225,промышленность,сущ,жен,ед,0,5
226,церквушка,сущ,жен,ед,0,6
227,острастка,сущ,жен,ед,0,5
228,певунья,сущ,жен,ед,0,4
229,брешь,сущ,жен,ед,0,3
230,газетёнка,сущ,жен,ед,0,2
231,кондратьева,сущ,жен,ед,0,6
232,радиопомеха,сущ,жен,ед,0,2
233,мета,сущ,жен,ед,0,2
234,болонка,сущ,жен,ед,0,4
235,сорвиголова,сущ,жен,ед,0,11
236,пригоршня,сущ,жен,ед,0,3
237,космография,сущ,жен,ед,0,8
238,октава,сущ,жен,ед,0,4
239,консолидация,сущ,жен,ед,0,9
240,кузьмина,сущ,жен,ед,0,8
241,водоросль,сущ,жен,ед,0,2
242,завязка,сущ,жен,ед,0,4
243,бабаева,сущ,жен,ед,0,2
244,липучка,сущ,жен,ед,0,4
245,куликова,сущ,жен,ед,0,6
246,камарилья,сущ,жен,ед,0,2
247,консервативность,сущ,жен,ед,0,2
248,бельгия,сущ,жен,ед,0,2
249,мобила,сущ,жен,ед,0,4
250,конкретность,сущ,жен,ед,0,6
251,ферма,сущ,жен,ед,0,2
252,радиогалактика,сущ,жен,ед,0,2
253,пионервожатая,сущ,жен,ед,0,2
254,арена,сущ,жен,ед,0,3
255,скромность,сущ,жен,ед,0,4
256,противоположность,сущ,жен,ед,0,11
257,легитимация,сущ,жен,ед,0,2
258,жванецкая,сущ,жен,ед,0,3
259,репатриация,сущ,жен,ед,0,8
260,клумба,сущ,жен,ед,0,3
261,манька,сущ,жен,ед,0,2
262,скрипка,сущ,жен,ед,0,4
263,колючка,сущ,жен,ед,0,4
264,всеядность,сущ,жен,ед,0,4
265,штопка,сущ,жен,ед,0,3
266,клинтон,сущ,жен,ед,0,3
267,аллюзия,сущ,жен,ед,0,4
268,тина,сущ,жен,ед,0,2
269,рассылка,сущ,жен,ед,0,5
270,астана,сущ,жен,ед,0,6
271,гречанка,сущ,жен,ед,0,5
272,обидчивость,сущ,жен,ед,0,3
273,перипетия,сущ,жен,ед,0,2
274,модификация,сущ,жен,ед,0,8
275,корпорация,сущ,жен,ед,0,7
276,ява,сущ,жен,ед,0,1
277,любушка,сущ,жен,ед,0,2
278,пятёрка,сущ,жен,ед,0,4
279,гречка,сущ,жен,ед,0,3
280,несуразица,сущ,жен,ед,0,6
281,равномерность,сущ,жен,ед,0,2
282,дорожка,сущ,жен,ед,0,4
283,хатка,сущ,жен,ед,0,2
284,электротехника,сущ,жен,ед,0,9
285,экзистенция,сущ,жен,ед,0,7
286,нега,сущ,жен,ед,0,2
287,двустволка,сущ,жен,ед,0,7
288,старушенция,сущ,жен,ед,0,7
289,начитанность,сущ,жен,ед,0,4
290,спелость,сущ,жен,ед,0,3
291,плакса,сущ,жен,ед,0,3
292,колесникова,сущ,жен,ед,0,4
293,пронина,сущ,жен,ед,0,3
294,синь,сущ,жен,ед,0,2
295,спячка,сущ,жен,ед,0,3
296,волна,сущ,жен,ед,0,5
297,медитация,сущ,жен,ед,0,6
298,десна,сущ,жен,ед,0,5
299,метрология,сущ,жен,ед,0,7
300,павловна,сущ,жен,ед,0,5
301,колонна,сущ,жен,ед,0,4
302,устремлённость,сущ,жен,ед,0,8
303,вальтеровна,сущ,жен,ед,0,2
304,роевна,сущ,жен,ед,0,2
305,мебель,сущ,жен,ед,0,2
306,перетасовка,сущ,жен,ед,0,8
307,анжелика,сущ,жен,ед,0,6
308,транспортировка,сущ,жен,ед,0,12
309,розница,сущ,жен,ед,0,2
310,полутьма,сущ,жен,ед,0,8
311,твёрдость,сущ,жен,ед,0,3
312,ирландия,сущ,жен,ед,0,4
313,эпиляция,сущ,жен,ед,0,5
314,похвала,сущ,жен,ед,0,7
315,уда,сущ,жен,ед,0,3
316,повинность,сущ,жен,ед,0,4
317,визуализация,сущ,жен,ед,0,9
318,сёмга,сущ,жен,ед,0,2
319,мадера,сущ,жен,ед,0,4
320,леонова,сущ,жен,ед,0,3
321,дезинформация,сущ,жен,ед,0,10
322,маньчжурия,сущ,жен,ед,0,2
323,мимикрия,сущ,жен,ед,0,7
324,вертикаль,сущ,жен,ед,0,7
325,субд,сущ,жен,ед,0,2
326,наследственность,сущ,жен,ед,0,5
327,слаженность,сущ,жен,ед,0,3
328,авелевна,сущ,жен,ед,0,1
329,котомка,сущ,жен,ед,0,4
330,щепка,сущ,жен,ед,0,2
331,монахиня,сущ,жен,ед,0,4
332,догадка,сущ,жен,ед,0,4
333,очерёдность,сущ,жен,ед,0,5
334,контригра,сущ,жен,ед,0,9
335,купина,сущ,жен,ед,0,2
336,праща,сущ,жен,ед,0,5
337,плащ-палатка,сущ,жен,ед,0,
338,честность,сущ,жен,ед,0,2
339,валентность,сущ,жен,ед,0,4
340,отсидка,сущ,жен,ед,0,1
341,хлорка,сущ,жен,ед,0,3
342,гордеева,сущ,жен,ед,0,5
343,дефляция,сущ,жен,ед,0,5
344,лгунья,сущ,жен,ед,0,3
345,протоплазма,сущ,жен,ед,0,3
346,перевязка,сущ,жен,ед,0,6
347,калифорния,сущ,жен,ед,0,6
348,технология,сущ,жен,ед,0,7
349,хореография,сущ,жен,ед,0,8
350,одинаковость,сущ,жен,ед,0,5
351,иголка,сущ,жен,ед,0,3
352,дыра,сущ,жен,ед,0,4
353,теория,сущ,жен,ед,0,3
354,кладь,сущ,жен,ед,0,3
355,интеграция,сущ,жен,ед,0,4
356,хлорелла,сущ,жен,ед,0,5
357,зажигалка,сущ,жен,ед,0,6
358,гидродинамика,сущ,жен,ед,0,9
359,филиппика,сущ,жен,ед,0,4
360,рига,сущ,жен,ед,0,2
361,орионовна,сущ,жен,ед,0,1
362,лезгинка,сущ,жен,ед,0,5
363,парикмахерша,сущ,жен,ед,0,7
364,перхоть,сущ,жен,ед,0,2
365,якутия,сущ,жен,ед,0,3
366,неадекватность,сущ,жен,ед,0,2
367,падчерица,сущ,жен,ед,0,2
368,категория,сущ,жен,ед,0,6
369,амброзия,сущ,жен,ед,0,5
370,хана,сущ,жен,ед,0,2
371,малолитражка,сущ,жен,ед,0,9
372,спелеология,сущ,жен,ед,0,8
373,проталина,сущ,жен,ед,0,5
374,подавленность,сущ,жен,ед,0,4
375,новизна,сущ,жен,ед,0,7
376,жёрдочка,сущ,жен,ед,0,8
377,беспристрастность,сущ,жен,ед,0,10
378,самоидентификация,сущ,жен,ед,0,14
379,привязь,сущ,жен,ед,0,3
380,семантика,сущ,жен,ед,0,4
381,неразборчивость,сущ,жен,ед,0,7
382,симоновна,сущ,жен,ед,0,2
383,редактура,сущ,жен,ед,0,2
384,боеголовка,сущ,жен,ед,0,7
385,кастрация,сущ,жен,ед,0,6
386,опера,сущ,жен,ед,0,1
387,банка,сущ,жен,ед,0,2
388,гематома,сущ,жен,ед,0,6
389,дрель,сущ,жен,ед,0,3
390,марионетка,сущ,жен,ед,0,7
391,космогония,сущ,жен,ед,0,2
392,рохля,сущ,жен,ед,0,2
393,ориентированность,сущ,жен,ед,0,7
394,поилка,сущ,жен,ед,0,3
395,шамилевна,сущ,жен,ед,0,2
396,юра,сущ,жен,ед,0,3
397,третьякова,сущ,жен,ед,0,8
398,электростанция,сущ,жен,ед,0,10
399,говядина,сущ,жен,ед,0,4
400,асана,сущ,жен,ед,0,1
401,публичность,сущ,жен,ед,0,2
402,монета,сущ,жен,ед,0,4
403,религиозность,сущ,жен,ед,0,2
404,неизвестность,сущ,жен,ед,0,6
405,присказка,сущ,жен,ед,0,3
406,зина,сущ,жен,ед,0,2
407,тётушка,сущ,жен,ед,0,2
408,радиостанция,сущ,жен,ед,0,8
409,заначка,сущ,жен,ед,0,4
410,квартира,сущ,жен,ед,0,6
411,терехова,сущ,жен,ед,0,2
412,усталь,сущ,жен,ед,0,1
413,рощица,сущ,жен,ед,0,2
414,роль,сущ,жен,ед,0,2
415,картотека,сущ,жен,ед,0,7
416,скарлатина,сущ,жен,ед,0,8
417,гуревич,сущ,жен,ед,0,2
418,анисимова,сущ,жен,ед,0,3
419,карамель,сущ,жен,ед,0,6
420,томасовна,сущ,жен,ед,0,2
421,беспечность,сущ,жен,ед,0,5
422,мануфактура,сущ,жен,ед,0,9
423,складка,сущ,жен,ед,0,4
424,самоорганизация,сущ,жен,ед,0,12
425,любимова,сущ,жен,ед,0,2
426,трущоба,сущ,жен,ед,0,5
427,тягота,сущ,жен,ед,0,2
428,радиочастота,сущ,жен,ед,0,2
429,незыблемость,сущ,жен,ед,0,4
430,муштра,сущ,жен,ед,0,6
431,гирька,сущ,жен,ед,0,2
432,неразрешимость,сущ,жен,ед,0,9
433,передышка,сущ,жен,ед,0,6
434,морзянка,сущ,жен,ед,0,2
435,петровская,сущ,жен,ед,0,2
436,регулярность,сущ,жен,ед,0,6
437,бестолковщина,сущ,жен,ед,0,8
438,вакцинопрофилактика,сущ,жен,ед,0,14
439,густота,сущ,жен,ед,0,7
440,олифа,сущ,жен,ед,0,3
441,жакетка,сущ,жен,ед,0,4
442,придумка,сущ,жен,ед,0,5
443,кубань,сущ,жен,ед,0,4
444,англия,сущ,жен,ед,0,1
445,захарова,сущ,жен,ед,0,4
446,дойка,сущ,жен,ед,0,2
447,палата,сущ,жен,ед,0,4
448,маринка,сущ,жен,ед,0,4
449,бойлерная,сущ,жен,ед,0,2
450,планка,сущ,жен,ед,0,3
451,кристина,сущ,жен,ед,0,6
452,ампула,сущ,жен,ед,0,1
453,бойня,сущ,жен,ед,0,2
454,тень,сущ,жен,ед,0,2
455,типизация,сущ,жен,ед,0,6
456,квартирка,сущ,жен,ед,0,6
457,пилотка,сущ,жен,ед,0,4
458,нерушимость,сущ,жен,ед,0,6
459,конвергенция,сущ,жен,ед,0,8
460,волга,сущ,жен,ед,0,2
461,трудяга,сущ,жен,ед,0,5
462,заслуга,сущ,жен,ед,0,5
463,яхта,сущ,жен,ед,0,1
464,сократовна,сущ,жен,ед,0,2
465,дарвин,сущ,жен,ед,0,2
466,лещина,сущ,жен,ед,0,4
467,сараюшка,сущ,жен,ед,0,5
468,хватка,сущ,жен,ед,0,3
469,наработка,сущ,жен,ед,0,6
470,стюартовна,сущ,жен,ед,0,3
471,паркер,сущ,жен,ед,0,2
472,принципиальность,сущ,жен,ед,0,9
473,гланда,сущ,жен,ед,0,3
474,неопределённость,сущ,жен,ед,0,10
475,данииловна,сущ,жен,ед,0,2
476,бандура,сущ,жен,ед,0,2
477,эклектика,сущ,жен,ед,0,4
478,борисова,сущ,жен,ед,0,4
479,трофимова,сущ,жен,ед,0,5
480,конфликтность,сущ,жен,ед,0,6
481,публика,сущ,жен,ед,0,2
482,обрезка,сущ,жен,ед,0,4
483,мутность,сущ,жен,ед,0,2
484,устойчивость,сущ,жен,ед,0,4
485,колода,сущ,жен,ед,0,4
486,декларация,сущ,жен,ед,0,7
487,богоматерь,сущ,жен,ед,0,6
488,косточка,сущ,жен,ед,0,2
489,станиславовна,сущ,жен,ед,0,8
490,главка,сущ,жен,ед,0,3
491,неискренность,сущ,жен,ед,0,3
492,вербовка,сущ,жен,ед,0,5
493,ботва,сущ,жен,ед,0,5
494,поллюция,сущ,жен,ед,0,5
495,блоха,сущ,жен,ед,0,5
496,тематика,сущ,жен,ед,0,4
497,пруст,сущ,жен,ед,0,3
498,заступница,сущ,жен,ед,0,2
499,одновременность,сущ,жен,ед,0,7
500,сорока,сущ,жен,ед,0,4
501,колоннада,сущ,жен,ед,0,7
502,шутиха,сущ,жен,ед,0,4
503,щепотка,сущ,жен,ед,0,2
504,дилемма,сущ,жен,ед,0,2
505,разрядка,сущ,жен,ед,0,5
506,калугина,сущ,жен,ед,0,2
507,платоновна,сущ,жен,ед,0,3
508,семёновна,сущ,жен,ед,0,4
509,треска,сущ,жен,ед,0,6
510,хна,сущ,жен,ед,0,3
511,зигфридовна,сущ,жен,ед,0,2
512,ойкумена,сущ,жен,ед,0,1
513,княгиня,сущ,жен,ед,0,5
514,эндонуклеаза,сущ,жен,ед,0,1
515,полиграфия,сущ,жен,ед,0,9
516,оперативка,сущ,жен,ед,0,7
517,администрация,сущ,жен,ед,0,10
518,сажёнка,сущ,жен,ед,0,2
519,тимуровна,сущ,жен,ед,0,2
520,машенька,сущ,жен,ед,0,2
521,осторожность,сущ,жен,ед,0,6
522,синкопа,сущ,жен,ед,0,5
523,ассоциация,сущ,жен,ед,0,7
524,одиночка,сущ,жен,ед,0,5
525,папироска,сущ,жен,ед,0,6
526,гуманизация,сущ,жен,ед,0,8
527,учтивость,сущ,жен,ед,0,4
528,лосева,сущ,жен,ед,0,2
529,кацавейка,сущ,жен,ед,0,6
530,ухватка,сущ,жен,ед,0,4
531,зимостойкость,сущ,жен,ед,0,7
532,тест-система,сущ,жен,ед,0,
533,верста,сущ,жен,ед,0,6
534,накладка,сущ,жен,ед,0,5
535,кондиция,сущ,жен,ед,0,5
536,повелительница,сущ,жен,ед,0,6
537,чеснокова,сущ,жен,ед,0,7
538,спешка,сущ,жен,ед,0,3
539,реторта,сущ,жен,ед,0,4
540,штуковина,сущ,жен,ед,0,5
541,трещинка,сущ,жен,ед,0,3
542,бабка,сущ,жен,ед,0,2
543,ариадна,сущ,жен,ед,0,4
544,психотехника,сущ,жен,ед,0,3
545,магометовна,сущ,жен,ед,0,2
546,репарация,сущ,жен,ед,0,6
547,улыбочка,сущ,жен,ед,0,3
548,микросхема,сущ,жен,ед,0,8
549,гимназистка,сущ,жен,ед,0,7
550,подсистема,сущ,жен,ед,0,8
551,катерина,сущ,жен,ед,0,6
552,серьга,сущ,жен,ед,0,2
553,критика,сущ,жен,ед,0,3
554,нитка,сущ,жен,ед,0,2
555,рекомендация,сущ,жен,ед,0,9
556,турция,сущ,жен,ед,0,2
557,уздечка,сущ,жен,ед,0,4
558,икринка,сущ,жен,ед,0,4
559,репродукция,сущ,жен,ед,0,7
560,максимизация,сущ,жен,ед,0,9
561,марина,сущ,жен,ед,0,4
562,лимонка,сущ,жен,ед,0,4
563,людовиковна,сущ,жен,ед,0,2
564,лавочка,сущ,жен,ед,0,2
565,биеннале,сущ,жен,ед,0,6
566,гряда,сущ,жен,ед,0,5
567,жидкость,сущ,жен,ед,0,2
568,русскость,сущ,жен,ед,0,2
569,ступа,сущ,жен,ед,0,3
570,кампания,сущ,жен,ед,0,5
571,помарка,сущ,жен,ед,0,4
572,мульча,сущ,жен,ед,0,2
573,мандрагора,сущ,жен,ед,0,8
574,капустина,сущ,жен,ед,0,2
575,платёжеспособность,сущ,жен,ед,0,5
576,табл,сущ,жен,ед,0,2
577,конфиденциальность,сущ,жен,ед,0,11
578,смена,сущ,жен,ед,0,3
579,академия,сущ,жен,ед,0,5
580,радиоаппаратура,сущ,жен,ед,0,2
581,шарлевна,сущ,жен,ед,0,2
582,понятность,сущ,жен,ед,0,4
583,суверенность,сущ,жен,ед,0,2
584,караганда,сущ,жен,ед,0,9
585,феска,сущ,жен,ед,0,2
586,ипостась,сущ,жен,ед,0,6
587,вариация,сущ,жен,ед,0,5
588,неосведомлённость,сущ,жен,ед,0,11
589,монументальность,сущ,жен,ед,0,9
590,глазница,сущ,жен,ед,0,6
591,генеалогия,сущ,жен,ед,0,7
592,миска,сущ,жен,ед,0,2
593,стела,сущ,жен,ед,0,3
594,георговна,сущ,жен,ед,0,2
595,репрезентативность,сущ,жен,ед,0,12
596,плазмида,сущ,жен,ед,0,3
597,жопа,сущ,жен,ед,0,2
598,киносъёмка,сущ,жен,ед,0,7
599,вологда,сущ,жен,ед,0,2
600,токсичность,сущ,жен,ед,0,5
601,завязь,сущ,жен,ед,0,2
602,цифирь,сущ,жен,ед,0,4
603,горчакова,сущ,жен,ед,0,2
604,диаграмма,сущ,жен,ед,0,6
605,горка,сущ,жен,ед,0,2
606,стеночка,сущ,жен,ед,0,3
607,плешь,сущ,жен,ед,0,3
608,люлька,сущ,жен,ед,0,2
609,клинопись,сущ,жен,ед,0,3
610,снедь,сущ,жен,ед,0,3
611,забывчивость,сущ,жен,ед,0,4
612,сандалия,сущ,жен,ед,0,2
613,бутыль,сущ,жен,ед,0,4
614,племянница,сущ,жен,ед,0,5
615,кандидатура,сущ,жен,ед,0,9
616,кристаллизация,сущ,жен,ед,0,11
617,бронетехника,сущ,жен,ед,0,3
618,ячейка,сущ,жен,ед,0,3
619,демократия,сущ,жен,ед,0,7
620,стипендия,сущ,жен,ед,0,5
621,утеря,сущ,жен,ед,0,3
622,прикидка,сущ,жен,ед,0,3
623,паустовская,сущ,жен,ед,0,2
624,бобина,сущ,жен,ед,0,4
625,попутка,сущ,жен,ед,0,4
626,колымага,сущ,жен,ед,0,6
627,подстава,сущ,жен,ед,0,2
628,стереотруба,сущ,жен,ед,0,3
629,бездна,сущ,жен,ед,0,2
630,логистика,сущ,жен,ед,0,4
631,линза,сущ,жен,ед,0,2
632,задорнова,сущ,жен,ед,0,2
633,рецептура,сущ,жен,ед,0,7
634,гиена,сущ,жен,ед,0,3
635,коммуникабельность,сущ,жен,ед,0,9
636,вкладка,сущ,жен,ед,0,4
637,ника,сущ,жен,ед,0,2
638,вонь,сущ,жен,ед,0,2
639,корона,сущ,жен,ед,0,4
640,территория,сущ,жен,ед,0,7
641,августиновна,сущ,жен,ед,0,1
642,триада,сущ,жен,ед,0,4
643,элеонора,сущ,жен,ед,0,6
644,ромеовна,сущ,жен,ед,0,2
645,репетиция,сущ,жен,ед,0,6
646,импульсивность,сущ,жен,ед,0,8
647,крыша,сущ,жен,ед,0,3
648,незаинтересованность,сущ,жен,ед,0,2
649,гагара,сущ,жен,ед,0,4
650,электросталь,сущ,жен,ед,0,10
651,престижность,сущ,жен,ед,0,6
652,тщетность,сущ,жен,ед,0,3
653,глава,сущ,жен,ед,0,5
654,хмельницкая,сущ,жен,ед,0,3
655,харизма,сущ,жен,ед,0,2
656,такса,сущ,жен,ед,0,2
657,продукция,сущ,жен,ед,0,5
658,щепоть,сущ,жен,ед,0,2
659,физзарядка,сущ,жен,ед,0,2
660,баржа,сущ,жен,ед,0,2
661,раба,сущ,жен,ед,0,4
662,пигментация,сущ,жен,ед,0,8
663,приемлемость,сущ,жен,ед,0,4
664,мать-и-мачеха,сущ,жен,ед,0,9
665,норка,сущ,жен,ед,0,2
666,ямка,сущ,жен,ед,0,1
667,измена,сущ,жен,ед,0,4
668,вадимовна,сущ,жен,ед,0,4
669,сума,сущ,жен,ед,0,4
670,мембрана,сущ,жен,ед,0,6
671,керамика,сущ,жен,ед,0,4
672,легализация,сущ,жен,ед,0,8
